Suburbs,PostCode,Soil Type,Dominant Soils,Soil PH,Crops
Aberfeldy,3825,Warragul with Silver Creek,Brown and Yellow Kandosols or Dermosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Agnes,3962,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Allambee,3823,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Almurta,3979,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Anderson,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Arawata,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Archies Creek,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Athlone,3818,Ripplebrook,Redoxic Hydrosols,5.0,Oats
Bass,3991,Dalmore,Aquic and Black Vertosols,5.3,Oats
Bena,3946,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Berrys Creek,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Bona Vista,3820,Warragul,Acidic Red Ferrosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Boolarra,3870,Warragul with Silver Creek,Brown and Yellow Kandosols or Dermosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Boolarra South,3870,Warragul with Silver Creek,Brown and Yellow Kandosols or Dermosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Brandy Creek,3821,riverine,Hydrosols,4.5,Oats
Budgeree,3870,Warragul with Silver Creek,Brown and Yellow Kandosols or Dermosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Buffalo,3958,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Buln Buln,3821,riverine,Hydrosols,4.5,Oats
Callignee,3844,sand dune,Rudosols,4.5,Oats
Cape Woolamai,3925,Woolamai ,deep sands,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Childers,3824,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Churchill,3842,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Cloverlea,3822,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Coalville,3825,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Corinella,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats
Coronet Bay,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats
Cowes,3922,Woolamai ,deep sands,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Crossover,3821,riverine,Hydrosols,4.5,Oats
Dalyston,3992,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
