Suburbs,PostCode,Soil Type,Dominant Soils,Soil PH,Crops
Aberfeldy,3825,Warragul with Silver Creek,Brown and Yellow Kandosols or Dermosols,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Agnes,3962,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Allambee,3823,Yarragon,Brown Dermosols and Hydrosols,6.2,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini', Carrot"
Almurta,3979,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Anderson,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5,Oats'
Arawata,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Archies Creek,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5,Oats'
Athlone,3818,Ripplebrook,Redoxic Hydrosols,5,Oats'
Bass,3991,Dalmore,Aquic and Black Vertosols,5.3,Oats'
Bena,3946,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Berrys Creek,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Bona Vista,3820,Warragul,Acidic Red Ferrosols,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Boolarra,3870,Warragul with Silver Creek,Brown and Yellow Kandosols or Dermosols,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Boolarra South,3870,Warragul with Silver Creek,Brown and Yellow Kandosols or Dermosols,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Brandy Creek,3821,riverine,Hydrosols,4.5,Oats'
Budgeree,3870,Warragul with Silver Creek,Brown and Yellow Kandosols or Dermosols,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Buffalo,3958,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5,Oats'
Buln Buln,3821,riverine,Hydrosols,4.5,Oats'
Callignee,3844,sand dune,Rudosols,4.5,Oats'
Cape Woolamai,3925,Woolamai ,deep sands,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Childers,3824,Yarragon,Brown Dermosols and Hydrosols,6.2,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini', Carrot"
Churchill,3842,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Cloverlea,3822,Yarragon,Brown Dermosols and Hydrosols,6.2,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini',Carrot"
Coalville,3825,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5,Oats'
Corinella,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats'
Coronet Bay,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats'
Cowes,3922,Woolamai ,deep sands,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Crossover,3821,riverine,Hydrosols,4.5,Oats'
Dalyston,3992,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Darnum,3822,Yarragon,Brown Dermosols and Hydrosols,6.2,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini',Carrot"
Delburn,3871,Silver Creek with Warragul, Brown and Yellow Kandosols or Dermosols ,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Dollar,3871,Silver Creek with Warragul, Brown and Yellow Kandosols or Dermosols ,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Driffield,3840,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Drouin,3818,Ripplebrook,Redoxic Hydrosols,5,Oats'
Drouin West,3818,Ripplebrook,Redoxic Hydrosols,5,Oats'
Dumbalk,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats'
Ellinbank,3821,riverine,Hydrosols,4.5,Oats'
Erica,3825,sand dune,Aeric Podosols,4.5,Oats'
Ferndale,3821,riverine,Hydrosols,4.5,Oats'
Fish Creek,3959,sand dune,Aeric Podosols,4.5,Oats'
Flynn,3844,sand dune,Rudosols,4.5,Oats'
Foster,3960,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
French Island,3921,Nyora,Aeric Podosols,4.7,Oats'
Fumina,3825,Jindivick,Dark brownish grey or grey sandy loams,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Glen Forbes,3990,French Island,Aeric and Aquic Podosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Glengarry,3854,Yinnar,Brown Dermosols and Vertosols,6,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Grantville,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats'
Hallora,3818,Ripplebrook,Redoxic Hydrosols,5,Oats'
Hallston,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Hazel Park,3966,Agnes,Yellow Kandosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Hazelwood,3840,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Hedley,3967,Agnes,Yellow Kandosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Hill End,3825,Jindivick,Dark brownish grey or grey sandy loams,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Icy Creek,3833,Jindivick,Dark brownish grey or grey sandy loams,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Inverloch,3996,riverine,Hydrosols,4.5,Oats'
Jam Jerrup,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats'
Jeeralang,3840,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
