"Suburbs","PostCode","SoilType","DominantSoils","SoilPH","Crops","crops_photo1"
"Berrys Creek","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Bona Vista","3820","Warragul","Acidic Red Ferrosols","6.1","Celery","/crops photo/Celery.jpg"
"Boolarra","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Celery","/crops photo/Celery.jpg"
"Boolarra South","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Celery","/crops photo/Celery.jpg"
"Brandy Creek","3821","riverine","Hydrosols","4.5","Oats","/oat.jpg"
"Buffalo","3958","Leongatha Sth","Humose-Acidic, Dermosolic, Redoxic HYDROSOL","5","Oats","/oat.jpg"
"Buln Buln","3821","riverine","Hydrosols","4.5","Oats","/oat.jpg"
"Callignee","3844","sand dune","Rudosols","4.5","Oats","/oat.jpg"
"Cape Woolamai","3925","Woolamai","deep sands","6.1","Celery","/crops photo/Celery.jpg"
"Aberfeldy","3825","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Aberfeldy","3825","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Tomato","/crops photo/tomato.jpg"
"Aberfeldy","3825","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Potato","/crops photo/potato.jpg"
"Aberfeldy","3825","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Eggplant","/crops photo/eggplant.jpg"
"Aberfeldy","3825","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Cucumber","/crops photo/cucumber.jpg"
"Delburn","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Eggplant","/crops photo/eggplant.jpg"
"Delburn","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Potato","/crops photo/potato.jpg"
"Delburn","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Tomato","/crops photo/tomato.jpg"
"Delburn","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Dollar","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Rice","/crops photo/rice.jpg"
"Dollar","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Cucumber","/crops photo/cucumber.jpg"
"Dollar","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Eggplant","/crops photo/eggplant.jpg"
"Dollar","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Potato","/crops photo/potato.jpg"
"Dollar","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Tomato","/crops photo/tomato.jpg"
"Dollar","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Driffield","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Rice","/crops photo/rice.jpg"
"Driffield","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Cucumber","/crops photo/cucumber.jpg"
"Driffield","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Eggplant","/crops photo/eggplant.jpg"
"Driffield","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Potato","/crops photo/potato.jpg"
"Mirboo North","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Eggplant","/crops photo/eggplant.jpg"
"Mirboo North","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Potato","/crops photo/potato.jpg"
