"Suburbs","PostCode","soil_type","geology","dominantsoil","soil_ph"
"Aberfeldy","3825","Warragul with Silver Creek","Tertiary Basalts & Tertiary sediments","Brown and Yellow Kandosols or Dermosols","6.1"
"Agnes","3962","Strzelecki","Cretaceous sediments","Acidic Grey, Yellow and Brown Dermosols","5.9"
"Allambee","3823","Yarragon","Pleistocene (late) sediments","Brown Dermosols and Hydrosols","6.2"
"Almurta","3979","Strzelecki","Cretaceous sediments","Acidic Grey, Yellow and Brown Dermosols","5.9"
"Anderson","3995","Leongatha Sth","Tertiary sediments","Humose-Acidic, Dermosolic, Redoxic HYDROSOL","5"
"Arawata","3951","Strzelecki","Cretaceous sediments","Acidic Grey, Yellow and Brown Dermosols","5.9"
"Archies Creek","3995","Leongatha Sth","Tertiary sediments","Humose-Acidic, Dermosolic, Redoxic HYDROSOL","5"
"Athlone","3818","Ripplebrook","Recent sediments","Redoxic Hydrosols","5"
"Bass","3991","Dalmore","Recent sediments","Aquic and Black Vertosols","5.3"
"Bena","3946","Strzelecki","Cretaceous sediments","Acidic Grey, Yellow and Brown Dermosols","5.9"
"Berrys Creek","3953","Strzelecki","Cretaceous sediments","Acidic Grey, Yellow and Brown Dermosols","5.9"
"Bona Vista","3820","Warragul","Tertiary Basalts","Acidic Red Ferrosols","6.1"
"Boolarra","3870","Warragul with Silver Creek","Tertiary Basalts & Tertiary sediments","Brown and Yellow Kandosols or Dermosols","6.1"
"Boolarra South","3870","Warragul with Silver Creek","Tertiary Basalts & Tertiary sediments","Brown and Yellow Kandosols or Dermosols","6.1"
"Brandy Creek","3821","riverine","Recent sediments","Hydrosols","4.5"
"Budgeree","3870","Warragul with Silver Creek","Tertiary Basalts & Tertiary sediments","Brown and Yellow Kandosols or Dermosols","6.1"
"Buffalo","3958","Leongatha Sth","Tertiary sediments","Humose-Acidic, Dermosolic, Redoxic HYDROSOL","5"
"Buln Buln","3821","riverine","Recent sediments","Hydrosols","4.5"
"Callignee","3844","sand dune","Pleistocene to Recent sediments","Rudosols","4.5"
"Cape Woolamai","3925","Woolamai","Devonian granites and Recent aeolian sediments","deep sands","6.1"
"Childers","3824","Yarragon","Pleistocene (late) sediments","Brown Dermosols and Hydrosols","6.2"
"Churchill","3842","Boolarra with Morwell","Tertiary (Pliocene) sediments","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5"
"Cloverlea","3822","Yarragon","Pleistocene (late) sediments","Brown Dermosols and Hydrosols","6.2"
"Coalville","3825","Leongatha Sth","Tertiary sediments","Humose-Acidic, Dermosolic, Redoxic HYDROSOL","5"
"Corinella","3984","Monomeith with sandy rises","Pleistocene (late) sediments","Grey, Yellow and Brown Sodosols","4.5"
"Coronet Bay","3984","Monomeith with sandy rises","Pleistocene (late) sediments","Grey, Yellow and Brown Sodosols","4.5"
"Cowes","3922","Woolamai","Devonian granites and Recent aeolian sediments.","deep sands","6.1"
"Crossover","3821","riverine","Recent sediments","Hydrosols","4.5"
"Dalyston","3992","Strzelecki","Cretaceous sediments","Acidic Grey, Yellow and Brown Dermosols","5.9"
"Darnum","3822","Yarragon","Pleistocene (late) sediments","Brown Dermosols and Hydrosols","6.2"
"Delburn","3871","Silver Creek with Warragul","Tertiary sediments & Tertiary basalts","Brown and Yellow Kandosols or Dermosols","6.1"
"Dollar","3871","Silver Creek with Warragul","Tertiary sediments & Tertiary basalts","Brown and Yellow Kandosols or Dermosols","6.1"
"Driffield","3840","Boolarra with Morwell","Tertiary (Pliocene) sediments","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5"
"Drouin","3818","Ripplebrook","Recent sediments","Redoxic Hydrosols","5"
"Drouin West","3818","Ripplebrook","Recent sediments","Redoxic Hydrosols","5"
"Dumbalk","3956","Inverloch","Tertiary sediments","Parapanic Podosols with Grey Kurosols","5.3"
"Ellinbank","3821","riverine","Recent sediments","Hydrosols","4.5"
"Erica","3825","sand dune","Pleistocene to Recent aeolian sediments","Aeric Podosols","4.5"
