,Suburbs,Post Code,Latitude,Longitude,Temperature,Description,Wind,soil_type,landform,geology
0,Aberfeldy,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
1,Agnes,3962,-38.56,146.39,280.75,light rain,3.64,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
2,Allambee,3823,-38.21,146.06,281.94,clear sky,0.45,Yarragon,Pleistocene (late) sediments,Not Available
3,Almurta,3979,-38.52,145.7,283.95,moderate rain,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
4,Anderson,3995,-38.57,145.7,283.85,clear sky,0.45,Leongatha Sth,Tertiary sediments,Not Available
5,Arawata,3951,-38.48,145.73,283.98,moderate rain,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
6,Archies Creek,3995,-38.57,145.7,283.85,clear sky,0.45,Leongatha Sth,Tertiary sediments,Not Available
7,Athlone,3818,-38.2,145.77,283.24,clear sky,0.45,Ripplebrock,Recent sediments,Redoxic Hydrosols
8,Bass,3991,-38.48,145.45,285.56,clear sky,6.29,Dalmore,Recent sediments,Aquic and Black Vertosols
9,Bena,3946,-38.42,145.77,284.9,clear sky,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
10,Berrys Creek,3953,-38.45,145.92,280.37,clear sky,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
11,Bona Vista,3820,-38.15,145.94,281.74,clear sky,0.45,Warragul,Tertiary Basalts,Acidic Red Ferrosols
12,Boolarra,3870,-38.42,146.33,280.66,clear sky,2.61,Warragul with Silver Creek,Tertiary Basalts & Tertiary sediments,Not Available
13,Boolarra South,3870,-38.42,146.33,280.66,clear sky,2.61,Warragul with Silver Creek,Tertiary Basalts & Tertiary sediments,Not Available
14,Brandy Creek,3821,-38.08,146.0,282.01,clear sky,0.45,riverine,Recent sediments,Not Available
15,Budgeree,3870,-38.42,146.33,280.66,clear sky,2.61,Warragul with Silver Creek,Tertiary Basalts & Tertiary sediments,Not Available
16,Buffalo,3958,-38.65,146.03,280.5,clear sky,0.45,Leongatha Sth,Tertiary sediments,Not Available
17,Buln Buln,3821,-38.08,146.0,282.01,clear sky,0.45,riverine,Recent sediments,Not Available
18,Callignee,3844,-38.32,146.6,280.93,clear sky,1.29,drainage high level,Pleistocene to Recent sediments,Rudosols
19,Cape Woolamai,3925,-38.51,145.36,285.65,clear sky,7.36,Not Available,Not Available,Not Available
20,Childers,3824,-38.21,146.15,281.63,clear sky,1.3,Yarragon,Pleistocene (late) sediments,Not Available
21,Churchill,3842,-38.31,146.41,280.93,clear sky,1.27,Boolarra with Morwell,Tertiary (Pliocene) sediments,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols
22,Cloverlea,3822,-38.23,145.97,281.85,clear sky,0.45,Yarragon,Pleistocene (late) sediments,Not Available
23,Coalville,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
